Variable, Year, value, ymin, ymax
Cur_B0,NA,0.577987,0.480731,0.675243
Cur_Bmsy,NA,1.76857,1.55389,1.98325
Cur_90,NA,1.23924,1.01784,1.46065
aveRY_90,NA,151.986,139.075,164.897
aveRY_last5,NA,158.255,141.153,175.356
R,1964,19.8034,17.4706,22.4478
SSB,1964,2934.14,2588.5,3325.93
Depletion,1964,1,1,1
B_Bmsy,1964,3.05987,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.67949e-05,NA,NA
Catch_RY,1964,1.78586e+06,NA,NA
R,1965,19.7725,17.4399,22.4171
SSB,1965,2891.89,2546.6,3284.01
Depletion,1965,0.985602,0.983814,0.987394
B_Bmsy,1965,3.01582,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.52176,NA,NA
Catch_RY,1965,25.6855,NA,NA
R,1966,26.9377,20.0866,36.1256
SSB,1966,2727.91,2384.12,3121.29
Depletion,1966,0.929715,0.921042,0.938469
B_Bmsy,1966,2.84481,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,61.9655,NA,NA
Catch_RY,1966,5.40022,NA,NA
R,1967,37.8466,29.2008,49.0523
SSB,1967,2486.62,2153.89,2870.76
Depletion,1967,0.847479,0.832099,0.863144
B_Bmsy,1967,2.59318,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,202.606,NA,NA
Catch_RY,1967,1.94686,NA,NA
R,1968,32.4787,24.5998,42.8811
SSB,1968,2315.14,2008.43,2668.69
Depletion,1968,0.789035,0.775904,0.802389
B_Bmsy,1968,2.41435,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,372.43,NA,NA
Catch_RY,1968,1.69265,NA,NA
R,1969,37.6673,29.1308,48.7054
SSB,1969,2081.41,1808.19,2395.92
Depletion,1969,0.709377,0.698548,0.720374
B_Bmsy,1969,2.1706,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,528.458,NA,NA
Catch_RY,1969,0.996592,NA,NA
R,1970,27.8982,20.7797,37.4553
SSB,1970,2077.26,1833.83,2353
Depletion,1970,0.707962,0.708453,0.70747
B_Bmsy,1970,2.16627,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,575.04,NA,NA
Catch_RY,1970,1.0907,NA,NA
R,1971,21.0166,15.1112,29.2298
SSB,1971,2020.54,1807.73,2258.41
Depletion,1971,0.688631,0.698368,0.67903
B_Bmsy,1971,2.10712,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,536.08,NA,NA
Catch_RY,1971,1.11031,NA,NA
R,1972,27.8691,21.154,36.716
SSB,1972,1956.81,1765.67,2168.65
Depletion,1972,0.666911,0.68212,0.652041
B_Bmsy,1972,2.04066,NA,NA
Catch,1972,820.11,NA,NA
