Variable, Year, value, ymin, ymax
Cur_B0,NA,0.164565,0.124566,0.204565
Cur_Bmsy,NA,0.497255,0.38873,0.60578
Cur_90,NA,0.904949,0.700993,1.1089
aveRY_90,NA,141.279,126.913,155.645
aveRY_last5,NA,149.262,127.476,171.048
R,1964,19.1511,17.1149,21.4295
SSB,1964,2837.48,2535.8,3175.06
Depletion,1964,1,1,1
B_Bmsy,1964,3.02162,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.47438e-05,NA,NA
Catch_RY,1964,1.9339e+06,NA,NA
R,1965,19.1201,17.0841,21.3987
SSB,1965,2795.25,2493.85,3133.07
Depletion,1965,0.985115,0.983456,0.986777
B_Bmsy,1965,2.97665,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.54168,NA,NA
Catch_RY,1965,25.6176,NA,NA
R,1966,27.1287,21.2084,34.7015
SSB,1966,2631.33,2331.16,2970.14
Depletion,1966,0.927345,0.9193,0.935461
B_Bmsy,1966,2.80209,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,64.8009,NA,NA
Catch_RY,1966,5.16393,NA,NA
R,1967,38.2856,30.7988,47.5923
SSB,1967,2392.67,2102.77,2722.54
Depletion,1967,0.843237,0.829234,0.857476
B_Bmsy,1967,2.54794,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,211.899,NA,NA
Catch_RY,1967,1.86148,NA,NA
R,1968,33.0282,26.1841,41.6613
SSB,1968,2230,1965.11,2530.58
Depletion,1968,0.785907,0.774949,0.797019
B_Bmsy,1968,2.37471,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,388.662,NA,NA
Catch_RY,1968,1.62196,NA,NA
R,1969,38.377,30.9387,47.6036
SSB,1969,2012.12,1779.98,2274.52
Depletion,1969,0.709121,0.701942,0.716373
B_Bmsy,1969,2.1427,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,548.051,NA,NA
Catch_RY,1969,0.960964,NA,NA
R,1970,28.3505,22.1279,36.323
SSB,1970,2028.05,1824.45,2254.37
Depletion,1970,0.714736,0.719479,0.710025
B_Bmsy,1970,2.15966,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,593.528,NA,NA
Catch_RY,1970,1.05673,NA,NA
R,1971,21.1953,16.0668,27.9607
SSB,1971,1991.38,1814.34,2185.69
