Variable, Year, value, ymin, ymax
Cur_B0,NA,0.216673,0.172356,0.26099
Cur_Bmsy,NA,0.787059,0.642093,0.932025
Cur_90,NA,1.09034,0.882389,1.29829
aveRY_90,NA,143.651,127.989,159.313
aveRY_last5,NA,157.634,132.322,182.945
R,1964,17.8104,16.1393,19.6546
SSB,1964,2638.85,2391.25,2912.09
Depletion,1964,1,1,1
B_Bmsy,1964,3.63247,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.32845e-05,NA,NA
Catch_RY,1964,2.0551e+06,NA,NA
R,1965,17.8024,16.1313,19.6466
SSB,1965,2596.63,2349.26,2870.06
Depletion,1965,0.984002,0.982438,0.985568
B_Bmsy,1965,3.57436,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.66443,NA,NA
Catch_RY,1965,25.2074,NA,NA
R,1966,28.0621,21.9684,35.8463
SSB,1966,2432.89,2186.48,2707.07
Depletion,1966,0.921952,0.914368,0.929598
B_Bmsy,1966,3.34896,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,72.7592,NA,NA
Catch_RY,1966,4.5991,NA,NA
R,1967,39.4532,31.8371,48.8913
SSB,1967,2201.33,1964.86,2466.26
Depletion,1967,0.834201,0.821689,0.846904
B_Bmsy,1967,3.03021,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,237.435,NA,NA
Catch_RY,1967,1.66128,NA,NA
R,1968,33.8743,26.9246,42.6179
SSB,1968,2061.03,1847.46,2299.29
Depletion,1968,0.781034,0.772592,0.789568
B_Bmsy,1968,2.83709,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,430.742,NA,NA
Catch_RY,1968,1.4635,NA,NA
R,1969,38.8322,31.3518,48.0973
SSB,1969,1879.81,1691.42,2089.19
Depletion,1969,0.71236,0.707337,0.717419
B_Bmsy,1969,2.58763,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,592.064,NA,NA
Catch_RY,1969,0.889527,NA,NA
