Variable, Year, value, ymin, ymax
Cur_B0,NA,0.14475,0.109997,0.179503
Cur_Bmsy,NA,0.373861,0.291271,0.456452
Cur_90,NA,0.867957,0.671015,1.0649
aveRY_90,NA,140.328,126.215,154.44
aveRY_last5,NA,146.195,125.061,167.328
R,1964,20.9527,18.4753,23.7622
SSB,1964,3104.42,2737.37,3520.69
Depletion,1964,1,1,1
B_Bmsy,1964,2.58292,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.70789e-05,NA,NA
Catch_RY,1964,1.76713e+06,NA,NA
R,1965,20.8807,18.4038,23.6908
SSB,1965,3062.16,2695.46,3478.74
Depletion,1965,0.986387,0.98469,0.988087
B_Bmsy,1965,2.54775,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.34376,NA,NA
Catch_RY,1965,26.308,NA,NA
R,1966,26.5508,20.736,33.9962
SSB,1966,2897.97,2532.79,3315.8
Depletion,1966,0.933499,0.925264,0.941807
B_Bmsy,1966,2.41115,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,56.3064,NA,NA
Catch_RY,1966,5.94297,NA,NA
R,1967,37.1626,29.8159,46.3195
SSB,1967,2651.7,2296.83,3061.39
Depletion,1967,0.854169,0.839067,0.869544
B_Bmsy,1967,2.20625,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,184.138,NA,NA
Catch_RY,1967,2.14212,NA,NA
R,1968,31.9764,25.2757,40.4537
SSB,1968,2464.5,2135.09,2844.72
Depletion,1968,0.793867,0.779981,0.808001
B_Bmsy,1968,2.05049,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,340.839,NA,NA
Catch_RY,1968,1.84953,NA,NA
R,1969,37.6682,30.2892,46.8449
SSB,1969,2204.47,1912.03,2541.63
Depletion,1969,0.710107,0.698494,0.721913
B_Bmsy,1969,1.83415,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,494.041,NA,NA
Catch_RY,1969,1.06602,NA,NA
R,1970,28.1761,21.9365,36.1906
SSB,1970,2172.12,1916.58,2461.73
Depletion,1970,0.699687,0.700156,0.699219
B_Bmsy,1970,1.80723,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,547.71,NA,NA
Catch_RY,1970,1.14513,NA,NA
R,1971,21.3718,16.1812,28.2275
SSB,1971,2094.39,1874.76,2339.74
Depletion,1971,0.674648,0.684879,0.66457
B_Bmsy,1971,1.74256,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,519.826,NA,NA
