Variable, Year, value, ymin, ymax
Cur_B0,NA,0.222149,0.167953,0.276346
Cur_Bmsy,NA,0.673849,0.52139,0.826308
Cur_90,NA,1.11828,0.904889,1.33167
aveRY_90,NA,144.03,122.715,165.344
aveRY_last5,NA,170.492,137.386,203.598
R,1964,25.1099,16.9189,37.2666
SSB,1964,2881.77,2568.76,3232.92
Depletion,1964,1,1,1
B_Bmsy,1964,3.03332,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.44602e-05,NA,NA
Catch_RY,1964,1.95632e+06,NA,NA
R,1965,25.0702,16.8907,37.2109
SSB,1965,2839.79,2527.03,3191.26
Depletion,1965,0.985432,0.983754,0.987114
B_Bmsy,1965,2.98913,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,8.17965,NA,NA
Catch_RY,1965,23.6196,NA,NA
R,1966,34.7236,22.5347,53.5054
SSB,1966,2677.42,2365.65,3030.28
Depletion,1966,0.929088,0.920929,0.937319
B_Bmsy,1966,2.81822,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,70.7674,NA,NA
Catch_RY,1966,4.72855,NA,NA
R,1967,48.3224,32.3519,72.1768
SSB,1967,2445.44,2143.49,2789.93
Depletion,1967,0.848591,0.834447,0.862975
B_Bmsy,1967,2.57405,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,228.102,NA,NA
Catch_RY,1967,1.72925,NA,NA
R,1968,41.3807,27.7282,61.7554
SSB,1968,2298.08,2016.75,2618.65
Depletion,1968,0.797453,0.785106,0.809994
B_Bmsy,1968,2.41893,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,406.377,NA,NA
Catch_RY,1968,1.55125,NA,NA
R,1969,47.8327,32.5874,70.2102
SSB,1969,2097.37,1837.43,2394.07
Depletion,1969,0.727805,0.715298,0.74053
B_Bmsy,1969,2.20766,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,561.829,NA,NA
Catch_RY,1969,0.937397,NA,NA
R,1970,35.3094,23.6514,52.7139
SSB,1970,2125.67,1880.08,2403.34
Depletion,1970,0.737626,0.731901,0.743395
B_Bmsy,1970,2.23745,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,594.331,NA,NA
Catch_RY,1970,1.0553,NA,NA
R,1971,26.3615,17.3739,39.9983
SSB,1971,2090.61,1863.46,2345.44
Depletion,1971,0.725459,0.725433,0.725486
B_Bmsy,1971,2.20055,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,538.935,NA,NA
Catch_RY,1971,1.10443,NA,NA
R,1972,34.5147,23.4757,50.7444
SSB,1972,2033.38,1825.61,2264.79
Depletion,1972,0.705601,0.710697,0.700541
B_Bmsy,1972,2.14031,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,458.486,NA,NA
Catch_RY,1972,1.78874,NA,NA
R,1973,34.0313,23.2565,49.7983
SSB,1973,1690.32,1495.53,1910.49
Depletion,1973,0.586557,0.5822,0.590947
B_Bmsy,1973,1.77921,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,450.652,NA,NA
Catch_RY,1973,1.48222,NA,NA
R,1974,27.9698,18.9504,41.2817
SSB,1974,1480.84,1295.5,1692.69
Depletion,1974,0.513865,0.504331,0.523581
B_Bmsy,1974,1.55872,NA,NA
Catch,1974,514.558,NA,NA
RY,1974,467.557,NA,NA
Catch_RY,1974,1.10053,NA,NA
R,1975,22.8787,15.3861,34.0199
SSB,1975,1436.19,1264.8,1630.79
Depletion,1975,0.498369,0.492379,0.504433
B_Bmsy,1975,1.51171,NA,NA
Catch,1975,488.208,NA,NA
RY,1975,421.076,NA,NA
Catch_RY,1975,1.15943,NA,NA
R,1976,22.8695,15.4115,33.9366
SSB,1976,1373.06,1220.19,1545.08
Depletion,1976,0.476465,0.475012,0.477922
B_Bmsy,1976,1.44527,NA,NA
Catch,1976,601.045,NA,NA
RY,1976,358.786,NA,NA
Catch_RY,1976,1.67522,NA,NA
R,1977,14.4957,9.35886,22.4521
SSB,1977,1146.51,1009.44,1302.19
Depletion,1977,0.397849,0.392969,0.402789
B_Bmsy,1977,1.2068,NA,NA
Catch,1977,431.483,NA,NA
RY,1977,302.954,NA,NA
Catch_RY,1977,1.42425,NA,NA
R,1978,12.5126,7.85167,19.9404
SSB,1978,1026.18,897.021,1173.94
Depletion,1978,0.356094,0.349204,0.363121
B_Bmsy,1978,1.08015,NA,NA
Catch,1978,379.39,NA,NA
RY,1978,242.111,NA,NA
Catch_RY,1978,1.56701,NA,NA
R,1979,11.7734,7.3061,18.9722
SSB,1979,897.745,770.656,1045.79
Depletion,1979,0.311526,0.300011,0.323482
B_Bmsy,1979,0.944956,NA,NA
Catch,1979,310.175,NA,NA
RY,1979,187.105,NA,NA
Catch_RY,1979,1.65776,NA,NA
R,1980,13.2131,8.16922,21.3711
SSB,1980,782.428,656.17,932.979
Depletion,1980,0.271509,0.255443,0.288587
B_Bmsy,1980,0.823574,NA,NA
Catch,1980,171.848,NA,NA
RY,1980,162.88,NA,NA
Catch_RY,1980,1.05506,NA,NA
R,1981,36.0545,24.5878,52.8688
SSB,1981,773.881,651.275,919.568
Depletion,1981,0.268544,0.253537,0.284439
B_Bmsy,1981,0.814578,NA,NA
Catch,1981,211.534,NA,NA
RY,1981,225.22,NA,NA
Catch_RY,1981,0.939231,NA,NA
R,1982,34.6106,23.4451,51.0938
SSB,1982,786.248,672.168,919.69
Depletion,1982,0.272835,0.26167,0.284477
B_Bmsy,1982,0.827596,NA,NA
Catch,1982,307.078,NA,NA
RY,1982,367.753,NA,NA
Catch_RY,1982,0.835012,NA,NA
R,1983,21.4697,14.081,32.7354
SSB,1983,840.693,725.313,974.428
Depletion,1983,0.291728,0.282359,0.301408
B_Bmsy,1983,0.884904,NA,NA
Catch,1983,339.59,NA,NA
RY,1983,459.649,NA,NA
