Variable, Year, value, ymin, ymax
Cur_B0,NA,0.186402,0.138605,0.234199
Cur_Bmsy,NA,0.589707,0.476288,0.703126
Cur_90,NA,1.11726,0.901827,1.33268
aveRY_90,NA,143.712,125.387,162.038
aveRY_last5,NA,154.078,129.663,178.494
R,1964,22.2,18.6039,26.4912
SSB,1964,3289.23,2756.42,3925.03
Depletion,1964,1,1,1
B_Bmsy,1964,3.16807,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.3653e-05,NA,NA
Catch_RY,1964,2.02308e+06,NA,NA
R,1965,22.1684,18.5731,26.4596
SSB,1965,3245.94,2714.32,3881.68
Depletion,1965,0.98684,0.984729,0.988956
B_Bmsy,1965,3.12638,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,6.16393,NA,NA
Catch_RY,1965,31.3436,NA,NA
R,1966,28.5185,22.3107,36.4535
SSB,1966,3076.73,2550.6,3711.39
Depletion,1966,0.935396,0.925331,0.94557
B_Bmsy,1966,2.9634,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,52.791,NA,NA
Catch_RY,1966,6.33872,NA,NA
R,1967,37.5292,30.3136,46.4624
SSB,1967,2821.46,2313.57,3440.85
Depletion,1967,0.857788,0.839339,0.876642
B_Bmsy,1967,2.71753,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,174.27,NA,NA
Catch_RY,1967,2.26341,NA,NA
R,1968,32.04,25.5734,40.1419
SSB,1968,2620.57,2150.11,3193.96
Depletion,1968,0.796713,0.78004,0.813743
B_Bmsy,1968,2.52404,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,320.574,NA,NA
Catch_RY,1968,1.96644,NA,NA
R,1969,38.0138,31.0181,46.5873
SSB,1969,2335.8,1924.48,2835.03
Depletion,1969,0.710136,0.698181,0.722297
B_Bmsy,1969,2.24976,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,460.983,NA,NA
Catch_RY,1969,1.14247,NA,NA
R,1970,27.6505,21.7095,35.2174
SSB,1970,2270.38,1924.61,2678.28
Depletion,1970,0.690248,0.698229,0.682359
B_Bmsy,1970,2.18676,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,512.902,NA,NA
Catch_RY,1970,1.22284,NA,NA
R,1971,20.3809,15.5158,26.7713
SSB,1971,2157.46,1879.95,2475.93
Depletion,1971,0.655918,0.682029,0.630806
B_Bmsy,1971,2.07799,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,484.005,NA,NA
Catch_RY,1971,1.22977,NA,NA
R,1972,27.3189,21.8374,34.1764
SSB,1972,2046.95,1828.57,2291.41
Depletion,1972,0.622319,0.663386,0.583795
B_Bmsy,1972,1.97155,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,422.449,NA,NA
Catch_RY,1972,1.94133,NA,NA
R,1973,27.2807,21.9337,33.9311
SSB,1973,1665.61,1488.07,1864.33
Depletion,1973,0.506383,0.539857,0.474985
B_Bmsy,1973,1.60426,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,419.362,NA,NA
Catch_RY,1973,1.59281,NA,NA
R,1974,22.5422,17.8757,28.427
SSB,1974,1423.06,1270.98,1593.34
Depletion,1974,0.432643,0.461098,0.405944
B_Bmsy,1974,1.37064,NA,NA
Catch,1974,514.558,NA,NA
RY,1974,445.543,NA,NA
Catch_RY,1974,1.1549,NA,NA
R,1975,18.3677,14.4546,23.34
SSB,1975,1358.99,1227.24,1504.88
Depletion,1975,0.413164,0.445231,0.383407
