Variable, Year, value, ymin, ymax
Cur_B0,NA,0.172463,0.132133,0.212792
Cur_Bmsy,NA,0.521226,0.41281,0.629643
Cur_90,NA,0.952947,0.74589,1.16
aveRY_90,NA,141.378,126.753,156.002
aveRY_last5,NA,150.754,128.206,173.303
R,1964,19.2101,17.1718,21.4902
SSB,1964,2846.22,2544.23,3184.06
Depletion,1964,1,1,1
B_Bmsy,1964,3.02226,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.48945e-05,NA,NA
Catch_RY,1964,1.92219e+06,NA,NA
R,1965,19.1791,17.141,21.4595
SSB,1965,2803.99,2502.28,3142.07
Depletion,1965,0.98516,0.98351,0.986813
B_Bmsy,1965,2.97741,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.53912,NA,NA
Catch_RY,1965,25.6263,NA,NA
R,1966,27.0917,21.2216,34.5856
SSB,1966,2640.06,2339.58,2979.13
Depletion,1966,0.927567,0.919564,0.93564
B_Bmsy,1966,2.80335,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,64.4676,NA,NA
Catch_RY,1966,5.19062,NA,NA
R,1967,38.2357,30.809,47.4527
SSB,1967,2401.11,2110.83,2731.31
Depletion,1967,0.843614,0.829654,0.857808
B_Bmsy,1967,2.54962,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,210.818,NA,NA
Catch_RY,1967,1.87102,NA,NA
R,1968,32.9956,26.2051,41.5458
SSB,1968,2237.49,1972.13,2538.55
Depletion,1968,0.786127,0.77514,0.79727
B_Bmsy,1968,2.37588,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,386.891,NA,NA
Catch_RY,1968,1.62938,NA,NA
R,1969,38.3722,30.986,47.5191
SSB,1969,2018.05,1785.51,2280.87
Depletion,1969,0.709028,0.701789,0.716341
B_Bmsy,1969,2.14286,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,546.251,NA,NA
Catch_RY,1969,0.96413,NA,NA
R,1970,28.3603,22.1774,36.2671
SSB,1970,2032.36,1828.62,2258.8
Depletion,1970,0.714055,0.718732,0.70941
B_Bmsy,1970,2.15806,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,592.291,NA,NA
Catch_RY,1970,1.05894,NA,NA
R,1971,21.207,16.1113,27.9143
SSB,1971,1994.52,1817.54,2188.74
Depletion,1971,0.700761,0.714378,0.687404
B_Bmsy,1971,2.11788,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,550.383,NA,NA
Catch_RY,1971,1.08146,NA,NA
R,1972,27.8465,22.1506,35.0071
SSB,1972,1946.77,1786.25,2121.72
Depletion,1972,0.683984,0.702078,0.666357
B_Bmsy,1972,2.06718,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,475.988,NA,NA
Catch_RY,1972,1.72296,NA,NA
R,1973,27.4889,21.9703,34.3936
SSB,1973,1615.28,1459.37,1787.85
Depletion,1973,0.567516,0.573598,0.561499
B_Bmsy,1973,1.71518,NA,NA
Catch,1973,667.965,NA,NA
RY,1973,459.947,NA,NA
Catch_RY,1973,1.45227,NA,NA
R,1974,22.5909,17.7902,28.6871
SSB,1974,1410.92,1260.48,1579.32
Depletion,1974,0.495718,0.495428,0.496009
B_Bmsy,1974,1.49819,NA,NA
Catch,1974,514.558,NA,NA
RY,1974,472.87,NA,NA
Catch_RY,1974,1.08816,NA,NA
R,1975,18.4329,14.4028,23.5907
SSB,1975,1369.41,1232.03,1522.12
Depletion,1975,0.481133,0.484243,0.478043
B_Bmsy,1975,1.45411,NA,NA
Catch,1975,488.208,NA,NA
RY,1975,429.054,NA,NA
Catch_RY,1975,1.13787,NA,NA
R,1976,18.3954,14.489,23.3551
SSB,1976,1311.95,1191.31,1444.8
Depletion,1976,0.460944,0.46824,0.453761
B_Bmsy,1976,1.39309,NA,NA
Catch,1976,601.045,NA,NA
RY,1976,368.321,NA,NA
Catch_RY,1976,1.63185,NA,NA
R,1977,11.6072,8.61135,15.6454
SSB,1977,1090.45,983.617,1208.89
Depletion,1977,0.383123,0.386607,0.37967
B_Bmsy,1977,1.1579,NA,NA
Catch,1977,431.483,NA,NA
RY,1977,310.175,NA,NA
Catch_RY,1977,1.3911,NA,NA
R,1978,9.97386,7.15361,13.906
SSB,1978,974.608,873.187,1087.81
Depletion,1978,0.342421,0.343203,0.341642
B_Bmsy,1978,1.03489,NA,NA
Catch,1978,379.39,NA,NA
RY,1978,250.414,NA,NA
Catch_RY,1978,1.51505,NA,NA
R,1979,9.44228,6.60889,13.4904
SSB,1979,851.798,747.793,970.268
Depletion,1979,0.299273,0.293917,0.304727
B_Bmsy,1979,0.90448,NA,NA
Catch,1979,310.175,NA,NA
RY,1979,195.019,NA,NA
Catch_RY,1979,1.59048,NA,NA
R,1980,10.709,7.34649,15.6104
SSB,1980,742.059,634.158,868.319
Depletion,1980,0.260717,0.249253,0.272708
B_Bmsy,1980,0.787954,NA,NA
Catch,1980,171.848,NA,NA
RY,1980,168.88,NA,NA
Catch_RY,1980,1.01758,NA,NA
R,1981,29.3714,23.1245,37.3057
SSB,1981,738.753,630.752,865.247
Depletion,1981,0.259556,0.247915,0.271743
B_Bmsy,1981,0.784444,NA,NA
Catch,1981,211.534,NA,NA
RY,1981,223.92,NA,NA
Catch_RY,1981,0.944687,NA,NA
R,1982,28.0547,22.0506,35.6937
SSB,1982,749.421,651.271,862.362
Depletion,1982,0.263304,0.25598,0.270837
B_Bmsy,1982,0.795771,NA,NA
Catch,1982,307.078,NA,NA
RY,1982,358.109,NA,NA
Catch_RY,1982,0.857499,NA,NA
R,1983,17.3552,13.0262,23.1227
SSB,1983,794.042,704.772,894.62
Depletion,1983,0.278981,0.277008,0.280968
B_Bmsy,1983,0.843153,NA,NA
Catch,1983,339.59,NA,NA
RY,1983,451.3,NA,NA
Catch_RY,1983,0.752471,NA,NA
R,1984,19.4743,15.1161,25.089
SSB,1984,893.974,793.812,1006.77
Depletion,1984,0.314091,0.312005,0.316192
B_Bmsy,1984,0.949265,NA,NA
