Variable, Year, value, ymin, ymax
Cur_B0,NA,0.192959,0.151863,0.234055
Cur_Bmsy,NA,0.584486,0.47751,0.691461
Cur_90,NA,1.07306,0.868288,1.27783
aveRY_90,NA,143.073,128.117,158.03
aveRY_last5,NA,156.604,132.127,181.081
R,1964,19.2732,17.2129,21.58
SSB,1964,2855.57,2550.32,3197.36
Depletion,1964,1,1,1
B_Bmsy,1964,3.02749,NA,NA
Catch,1964,47.852,NA,NA
RY,1964,2.51685e-05,NA,NA
Catch_RY,1964,1.90127e+06,NA,NA
R,1965,19.2422,17.1821,21.5493
SSB,1965,2813.33,2508.37,3155.37
Depletion,1965,0.985209,0.983551,0.986869
B_Bmsy,1965,2.98271,NA,NA
Catch,1965,193.2,NA,NA
RY,1965,7.53761,NA,NA
Catch_RY,1965,25.6315,NA,NA
R,1966,27.0608,21.1697,34.5914
SSB,1966,2649.4,2345.69,2992.44
Depletion,1966,0.927802,0.919762,0.935912
B_Bmsy,1966,2.80891,NA,NA
Catch,1966,334.627,NA,NA
RY,1966,64.1566,NA,NA
Catch_RY,1966,5.21579,NA,NA
R,1967,38.1851,30.7305,47.4481
SSB,1967,2410.16,2116.69,2744.33
Depletion,1967,0.844022,0.829971,0.858311
B_Bmsy,1967,2.55527,NA,NA
Catch,1967,394.445,NA,NA
RY,1967,209.841,NA,NA
Catch_RY,1967,1.87973,NA,NA
R,1968,32.9508,26.135,41.5439
SSB,1968,2245.59,1977.17,2550.46
Depletion,1968,0.78639,0.775262,0.797678
B_Bmsy,1968,2.38079,NA,NA
Catch,1968,630.392,NA,NA
RY,1968,385.312,NA,NA
Catch_RY,1968,1.63606,NA,NA
R,1969,38.3355,30.9202,47.5293
SSB,1969,2024.52,1789.21,2290.77
Depletion,1969,0.708972,0.701563,0.716458
B_Bmsy,1969,2.14641,NA,NA
Catch,1969,526.657,NA,NA
RY,1969,544.632,NA,NA
Catch_RY,1969,0.966996,NA,NA
R,1970,28.3438,22.1355,36.2933
SSB,1970,2036.96,1830.88,2266.25
Depletion,1970,0.71333,0.717902,0.708787
B_Bmsy,1970,2.1596,NA,NA
Catch,1970,627.198,NA,NA
RY,1970,591.144,NA,NA
Catch_RY,1970,1.06099,NA,NA
R,1971,21.2072,16.0886,27.9541
SSB,1971,1997.53,1818.65,2194
Depletion,1971,0.69952,0.713108,0.68619
B_Bmsy,1971,2.11779,NA,NA
Catch,1971,595.215,NA,NA
RY,1971,549.718,NA,NA
Catch_RY,1971,1.08276,NA,NA
R,1972,27.8476,22.1247,35.0509
SSB,1972,1948.66,1786.62,2125.39
Depletion,1972,0.682405,0.700547,0.664734
B_Bmsy,1972,2.06598,NA,NA
Catch,1972,820.11,NA,NA
RY,1972,475.706,NA,NA
Catch_RY,1972,1.72399,NA,NA
R,1973,27.4944,21.9494,34.4403
